英文描述,中文描述,
"Lie flat on your back with your legs straight and your arms extended overhead, holding the band. Engage your abs and lift your legs and upper body simultaneously, bringing your hands towards your feet. Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position. Repeat for the desired number of repetitions.",平躺，双腿伸直，双臂举过头顶，握住弹力带。收紧腹肌，同时抬起双腿和上半身，双手朝脚方向。在顶端稍作停顿，然后慢慢将双腿和上半身放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart and your hands clasped together in front of your chest. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Lower your hands towards your toes in a circular motion, reaching as far as you can without straining. Pause for a moment at the bottom, then slowly return to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手合十放在胸前。膝盖微微弯曲，臀部向前折叠，保持背部挺直。双手以圆周运动向脚趾方向下放，尽量伸出而不用力。在底部稍作停顿，然后慢慢回到起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart and knees slightly bent. Grasp a bar or handles with an overhand grip, palms facing down. Keep your back straight and core engaged. Pull the bar or handles towards your body, squeezing your shoulder blades together. Pause for a moment at the top of the movement. Slowly release and extend your arms back to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽，膝盖微微弯曲。用过握握法握住杠杆或手柄，手掌朝下。保持背部挺直，核心发力。将杠铃或把手拉向身体，将肩胛骨紧紧挤压。在乐章顶端稍作停顿。慢慢松开并伸展手臂回到起始位置。重复到所需的重复次数。,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up by flexing your hips and knees until your thighs are parallel to the ground. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",悬挂在引体向上杆上，双臂完全伸展，手掌朝向背对自己。通过收紧臀部和膝盖，收紧核心并抬起双腿，直到大腿与地面平行。在顶端停顿片刻，然后慢慢把双腿放回起始位置。重复到所需的重复次数。,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you, keeping them straight. Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",悬挂在引体向上杆上，双臂完全伸展，手掌朝向背对自己。收紧核心，抬起双腿，保持伸直。继续举起，直到双腿与地面平行或尽可能高。在顶端停顿片刻，然后慢慢把双腿放回起始位置。重复到所需的重复次数。,
"Position yourself between two parallel bars with your arms extended and supporting your body weight. Lower your body by bending your elbows until your upper arms are parallel to the ground. Pause for a moment, then push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions.",将自己置于两根平行杠之间，双臂伸展并支撑身体重量。通过弯曲肘部，使上臂与地面平行，降低身体。稍作停顿，然后通过伸直手臂推自己回到起始位置。重复到所需的重复次数。,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up towards the bar, keeping them straight. Continue lifting until your body forms a 'V' shape, with your legs parallel to the ground. Hold the position for a moment, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",双臂完全伸展，手掌朝外，悬挂在引体向上杆上。收紧核心，抬起双腿朝杠铃方向，保持伸直。继续举起，直到身体形成“V”字形，双腿与地面平行。保持该姿势片刻，然后慢慢将双腿放回起始位置。重复至所需次数。,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you until they are parallel to the ground. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",悬挂在引体向上杆上，双臂完全伸展，手掌朝向背对。收紧核心，抬起双腿直到与地面平行。在顶端稍作停顿，然后慢慢将双腿放回起始位置。重复到所需的重复次数。,
"Hang from a pull-up bar with your arms fully extended and your palms facing away from you. Engage your core and lift your legs up in front of you, keeping them straight. Continue lifting until your legs are parallel to the ground or as high as you can comfortably go. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",悬挂在引体向上杆上，双臂完全伸展，手掌朝向背对自己。收紧核心，抬起双腿，保持伸直。继续举起，直到双腿与地面平行或尽可能高。在顶端停顿片刻，然后慢慢把双腿放回起始位置。重复到所需的重复次数。,
"Hang from a pull-up bar with your arms fully extended and your legs straight. Engage your core and lift your legs up towards your chest, keeping them straight. Once your legs are parallel to the ground, twist your hips to one side, bringing your legs towards that side. Pause for a moment, then return to the starting position. Repeat the movement, but this time twist your hips to the opposite side. Continue alternating sides for the desired number of repetitions.",双臂完全伸展，双腿伸直，悬挂在引体向上杆上。收紧核心，将双腿抬向胸前，保持伸直。当双腿与地面平行时，将臀部向一侧扭转，双腿朝向该侧。稍作停顿，然后回到起始位置。重复动作，但这次将臀部扭向相反侧。继续左右交替，完成所需的重复次数。,
"Lie flat on a bench with a dumbbell in each hand, palms facing each other. Extend your arms straight up over your chest, with a slight bend in your elbows. Keeping a slight bend in your elbows, lower the dumbbells out to the sides in a wide arc until you feel a stretch in your chest. Pause for a moment, then reverse the movement and bring the dumbbells back to the starting position. Repeat for the desired number of repetitions.",平躺在长凳上，双手各握一个哑铃，手掌相对。双臂直伸过胸前，肘部略微弯曲。保持肘部微微弯曲，将哑铃向两侧放下，形成一个宽弧线，直到你感觉胸部有拉伸感。暂停片刻，然后反向移动，将哑铃带回起始位置。重复到所需的重复次数。,
"Start in a standing position with your feet shoulder-width apart. Lower your body into a squat position by bending your knees and placing your hands on the floor in front of you. Kick your feet back into a push-up position. Perform a push-up, keeping your body in a straight line. Jump your feet back into the squat position. Jump up explosively, reaching your arms overhead. Land softly and immediately lower back into a squat position to begin the next repetition.",从站立姿势开始，双脚与肩同宽。通过弯曲膝盖，双手放在前方地板上，将身体降低为深蹲姿势。将脚踢回俯卧撑姿势。做俯卧撑时保持身体直线。双脚跳回深蹲姿势。爆发力地跳起，双臂举过头顶。轻柔落地后立即回落为深蹲姿势，开始下一个动作。,
"Adjust the hyperextension bench so that your hips are resting comfortably on the pad and your feet are secured. Cross your arms over your chest or place your hands behind your head. Slowly lower your upper body towards the ground while keeping your back straight. Pause for a moment at the bottom, then raise your upper body back up until it is in line with your legs. Repeat for the desired number of repetitions.",调整过度伸展卧推，使臀部舒适地靠在垫子上，双脚稳固。双臂交叉放在胸前，或双手放在头后。缓慢地将上半身向下放向地面，同时保持背部挺直。在底部稍作停顿，然后将上半身抬起，直到与双腿保持在同一线。重复至所需次数。,
"Start in a standing position with your feet hip-width apart. Bend forward at the waist and place your hands on the ground in front of you. Walk your hands forward until you are in a high plank position, with your body in a straight line from head to toe. Keeping your legs straight, walk your feet towards your hands, bringing your hips up towards the ceiling. Continue walking your hands forward, repeating the movement for the desired number of repetitions.",从站立姿势开始，双脚与臀部同宽。腰部前倾，双手放在前方地面。双手向前移动，直到处于高平板支撑姿势，身体从头到脚保持直线。保持双腿伸直，双脚向手方向移动，臀部抬高向天花板。继续双手向前移动，重复该动作至所需次数。,
"Lie on an incline bench with your back flat against the bench and your legs extended straight out in front of you. Place your hands on the sides of the bench for support. Engaging your abs, lift your legs off the bench, raising them as high as you can while keeping them straight. Pause for a moment at the top, then slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",躺在斜凳上，背部平贴长凳，双腿伸直向前。双手放在长凳两侧以提供支撑。收紧腹肌，抬起双腿，尽量抬高，同时保持伸直。在顶端稍作停顿，然后慢慢将双腿放回起始位置。重复到所需的重复次数。,
"Find an elevated surface, such as a bench or step, and place your hands shoulder-width apart on the edge. Step your feet back, keeping your body in a straight line from head to heels. Lower your chest towards the edge of the surface, bending your elbows and keeping your body aligned. Push through your palms to extend your arms and return to the starting position. Jump off the edge of the surface, landing softly with your knees slightly bent. Repeat the push-up and depth jump for the desired number of repetitions.",找一个高处，比如长凳或台阶，双手与肩同宽，放在床边。双脚向后退，保持身体从头到脚跟的直线。胸部向下靠近表面边缘，弯曲肘部，保持身体对齐。用手掌撑开，伸展双臂，回到起始位置。从地面边缘跳起，膝盖微弯，轻柔落地。重复俯卧撑和深度跳，达到所需的重复次数。,
"Place your hands on the edge of a box or elevated surface, slightly wider than shoulder-width apart. Extend your legs behind you, resting on the balls of your feet, creating a straight line from your head to your heels. Lower your chest towards the box by bending your elbows, keeping your body in a straight line. Pause for a moment at the bottom, then push yourself back up to the starting position by straightening your arms. Repeat for the desired number of repetitions.",双手放在箱子或高处边缘，略宽于肩宽。双腿向后伸展，脚掌掌前端支撑，从头到脚跟形成一条直线。弯曲肘部，保持身体直线，胸部向下向箱子。在底部稍作停顿，然后伸直手臂，将自己推回起始位置。重复至所需次数。,
"Place your hands on the edge of a bench or elevated surface, slightly wider than shoulder-width apart. Extend your legs behind you, resting on the balls of your feet, creating a straight line from your head to your heels. Lower your chest towards the bench by bending your elbows, keeping them close to your sides. Pause for a moment at the bottom, then push yourself back up to the starting position by extending your arms. Repeat for the desired number of repetitions.",双手放在长凳或高处边缘，略宽于肩宽。双腿向后伸展，脚掌掌尖支撑，从头到脚跟形成一条直线。弯曲肘部，胸部靠近长凳，保持靠近身体两侧。在底部稍作停顿，然后伸展双臂将自己推回起始位置。重复至所需次数。,
"Set up an incline bench at a 45-degree angle. Place your hands on the bench slightly wider than shoulder-width apart. Position your feet on the ground, hip-width apart. Lower your chest towards the bench, keeping your elbows tucked in. As you lower, retract your shoulder blades, squeezing your scapulae together. Push through your palms to extend your arms and return to the starting position. Repeat for the desired number of repetitions.",设置一个倾斜的长凳，呈45度角。双手放在长凳上，略宽于肩宽。双脚放在地面上，与臀部同宽。胸部向下靠近长凳，肘部收紧。下蹲时，收回肩胛骨，肩胛骨紧拢。用手掌撑开双臂，回到起始位置。重复至所需次数。,
"Stand upright with your feet shoulder-width apart. Hold onto a stable object for support. Bend your right knee and bring your right foot towards your glutes, grabbing the rope with your right hand. Slowly pull your right foot towards your glutes, feeling a stretch in your right quad. Hold the stretch for 20-30 seconds. Release the stretch and repeat on the left side.",站直，双脚与肩同宽。握住一个稳定的物体作为支撑。弯曲右膝，将右脚朝臀部方向，右手抓住绳子。慢慢将右脚拉向臀部，感受右股四头肌的拉伸。保持拉伸20-30秒。松开拉伸，左侧重复。,
"Set up a bar at waist height on a Smith machine or use a suspension trainer. Stand facing the bar or suspension trainer and grab it with an overhand grip, hands shoulder-width apart. Walk your feet forward, leaning back until your body is at a slight angle. Keep your body straight and pull your chest up towards the bar or handles, squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower yourself back down to the starting position. Repeat for the desired number of repetitions.",在Smith器械上设置腰部高度的杠铃，或使用悬挂训练器。站在杠铃或悬挂训练器面前，双手与肩同宽握住杠铃。双脚向前走，身体向后倾斜，直到身体略微倾斜。保持身体挺直，胸部向杠铃或把手方向拉起，肩胛骨紧贴。在顶端稍作停顿，然后慢慢降回起始位置。重复到所需的重复次数。,
"Lie flat on your back with your knees bent and feet flat on the ground. Place your hands by your sides, palms facing down. Engaging your abs, lift your legs off the ground, bringing your knees towards your chest. At the top of the movement, squeeze your abs and pause for a moment. Slowly lower your legs back down to the starting position. Repeat for the desired number of repetitions.",平躺，膝盖弯曲，双脚平放在地上。双手放在身体两侧，掌心朝下。收紧腹部，抬起双腿离地，膝盖向胸前。动作结束时，收紧腹部并暂停片刻。慢慢将双腿放回起始位置。重复到所需的次数。,
"Lie flat on your back with your arms extended out to the sides. Raise your legs up towards the ceiling, keeping them straight. Slowly lower your legs to one side, aiming to touch the floor with your feet. Hold the stretch for a few seconds, then return your legs to the starting position. Repeat the stretch on the other side. Continue alternating sides for the desired number of repetitions.",平躺，双臂向两侧伸展。双腿抬向天花板，保持伸直。慢慢将双腿放下，目标是用脚触地。保持拉伸几秒钟，然后双腿回到起始位置。在另一侧重复拉伸。继续交替移动，达到所需的重复次数。,
"Stand with your feet shoulder-width apart and your knees slightly bent. Extend your arms straight out in front of you, parallel to the ground, with your palms facing each other. Squeeze your chest muscles together as hard as you can, while keeping your arms straight. Hold this position for a few seconds, focusing on contracting your chest muscles. Release the squeeze and relax your chest muscles. Repeat for the desired number of repetitions.",双脚与肩同宽，膝盖微微弯曲。双臂伸直，平行于地面，手掌相对。尽力收紧胸肌，同时保持手臂伸直。保持这个姿势几秒钟，专注于收缩胸肌。松开收紧，放松胸肌。重复到所需的次数。,
"Stand facing the cable machine with your feet shoulder-width apart. Hold the cable handle with your right hand and bring your arm up so that your upper arm is parallel to the ground and your elbow is bent at a 90-degree angle. Keep your upper arm stationary and extend your forearm backward, fully straightening your arm. Pause for a moment, then slowly return to the starting position. Repeat with your left arm. Continue alternating arms for the desired number of repetitions.",站在拉索机前，双脚与肩同宽。右手握住拉绳把手，抬起手臂，使上臂与地面平行，肘部弯曲成90度角。保持上臂不动，前臂向后伸展，手臂完全伸直。暂停片刻，然后慢慢回到起始位置。左臂重复。继续交替双臂，完成所需的重复次数。,
"Start by lying flat on your back on a mat or bench. Extend your arms straight out to the sides, perpendicular to your body. Engage your core and lift both legs off the ground, keeping them together and straight. Slowly lower your legs to one side, aiming to touch the ground with your feet while maintaining control. Pause for a moment, then use your core to lift your legs back to the starting position. Repeat the movement, this time lowering your legs to the opposite side. Continue alternating sides for the desired number of repetitions.",先平躺在垫子或长凳上。双臂伸直，垂直于身体两侧。收紧核心，双腿离地，保持并拢并直。慢慢将双腿放向一侧，目标是用脚触地，同时保持控制。暂停片刻，然后用核心将双腿抬回起始位置。重复动作，这次将双腿放下至相反侧。继续交替移动，完成所需的重复次数。,
"Start in a standing position with your feet shoulder-width apart. Lower your body into a squat position, placing your hands on the ground in front of you. Kick your feet back, landing in a push-up position. Perform a push-up, lowering your chest to the ground and then pushing back up. Jump your feet forward, landing in a squat position. Jump up explosively, reaching your arms overhead. Land softly and immediately lower back into the squat position to begin the next repetition.",从站立姿势开始，双脚与肩同宽。身体降低到深蹲姿势，双手放在前方地面上。脚向后踢，落地时做俯卧撑。做俯卧撑，胸部贴地再推回地面。双脚向前跳跃，落地为深蹲姿势。爆发力地跳起，双臂举过头顶。轻柔落地，立即回到深蹲姿势开始下一次重复。,
"Stand with your feet together and your arms by your sides. Jump up, spreading your feet apart and raising your arms above your head. As you land, quickly jump back to the starting position. Repeat for the desired number of repetitions.",双脚并拢，双臂垂在身侧。跳起来，双脚分开，双臂举过头顶。落地时，迅速跳回起始位置。重复到所需的重复次数。,
"Lie flat on your back with your legs extended and your arms overhead. Engage your core and lift your legs and upper body simultaneously, reaching your hands towards your toes. Pause for a moment at the top, then slowly lower your legs and upper body back down to the starting position. Repeat for the desired number of repetitions.",平躺，双腿伸展，双臂举过头顶。激活核心，同时抬起双腿和上半身，双手伸向脚趾。在顶部稍作停顿，然后慢慢将双腿和上半身放回起始位置。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart. Lower your body into a squat position by bending your knees and pushing your hips back. Jump explosively off the ground, extending your hips, knees, and ankles. While in mid-air, quickly bring your arms forward for balance. Land softly on the balls of your feet and immediately go into the next repetition. Repeat for the desired number of repetitions.",双脚与肩同宽站立。通过弯曲膝盖并向后推臀部，将身体降低为深蹲姿势。爆发性地从地面跳起，伸展臀部、膝盖和脚踝。在空中时，迅速将手臂向前伸出以保持平衡。轻轻着地，脚掌着地，立即进入下一个重复动作。重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, toes pointing forward. Raise your heels off the ground as high as possible, standing on your toes. Hold the position for a moment, then slowly lower your heels back down to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，脚尖朝前。脚跟尽可能抬高离地，踮起脚尖。保持该姿势片刻，然后慢慢将脚跟放回起始位置。重复至所需次数。,
"Lie on your side with your legs straight and stacked on top of each other. Bend your bottom leg slightly for stability. Place your top foot on a stable surface, such as a bench or step. Keeping your top leg straight, slowly lower it towards the ground, feeling a stretch in your inner thigh. Hold the stretch for 20-30 seconds. Return to the starting position and repeat on the other side.",侧卧，双腿伸直并叠放在一起。下腿稍微弯曲以保持稳定。将上脚放在稳定的表面上，比如长凳或台阶。保持上腿伸直，慢慢将腿放向地面，感受大腿内侧的拉伸感。保持拉伸20-30秒。回到起始位置，在另一侧重复。,
"Adjust the cable machine to chest height and attach the handles. Stand facing away from the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip and step forward to create tension in the cables. Position your feet firmly on the ground and engage your core. Bend your elbows and bring your hands to shoulder level, keeping your elbows at a 90-degree angle. Push the handles forward, extending your arms fully in front of you. Pause for a moment, then slowly reverse the movement, bringing your hands back to shoulder level. Repeat for the desired number of repetitions.",将拉绳机调整到胸前高度，并安装把手。站立时背对机器，双脚与肩同宽。用过手握住把手，向前迈步以增加钢索的张力。双脚稳稳地放在地面，收紧核心。弯曲手肘，将手移至肩膀水平，保持肘部呈90度角。将把手向前推，双臂完全伸直在身前。稍作停顿，然后缓慢反向，将双手恢复到肩膀水平。重复至所需次数。,
"Stand in front of a step or platform with a dumbbell in each hand, palms facing your body. Place your right foot on the step, ensuring your entire foot is in contact with the surface. Engage your core and push through your right heel to lift your body up onto the step, bringing your left knee up towards your chest. At the top of the movement, perform a bicep curl by bending your elbows and bringing the dumbbells towards your shoulders. Lower the dumbbells back down and simultaneously lower your left foot back to the ground. Repeat the movement on the opposite side, stepping up with your left foot and curling the dumbbells. Continue alternating sides for the desired number of repetitions.",站在台阶或平台前，双手各握一个哑铃，手掌朝向身体。右脚踩在台阶上，确保整只脚都接触到台面。收紧核心，用右脚跟推动身体抬起，左膝抬向胸前。动作结束时，弯曲肘部，将哑铃靠近肩膀，做肱二头肌弯举。将哑铃放回原位，同时左脚重新落地。在另一侧重复动作，左脚上迈步，同时弯曲哑铃。继续左右交替，完成所需的重复次数。,
"Stand with your feet shoulder-width apart, knees slightly bent, and hold a kettlebell in each hand with your palms facing your body. Bend forward at the hips, keeping your back straight and your core engaged. Pull one kettlebell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. Lower the kettlebell back down to the starting position and repeat with the other arm. Continue alternating arms for the desired number of repetitions.",双脚与肩同宽站立，膝盖微微弯曲，双手各握一个壶铃，手掌朝向身体。臀部前倾，保持背部挺直，核心收紧。将一个壶铃拉向胸前，肘部靠近身体，双肩胛骨紧贴。将壶铃放回起始位置，另一只手臂重复。继续交替双臂，完成所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in each hand at shoulder height with your palms facing towards you. Engage your core and press the kettlebells overhead, rotating your palms to face forward as you extend your arms. Pause at the top of the movement, then slowly lower the kettlebells back to the starting position. Repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个壶铃，肩高，手掌朝向自己。收紧核心，将壶铃举过头顶，手掌旋转朝前，同时伸展双臂。动作结束时暂停，然后慢慢将壶铃放回起始位置。重复至所需次数。,
"Start by standing with your feet shoulder-width apart, holding a kettlebell in each hand at shoulder height. Bend your knees slightly and engage your core. Initiate the movement by explosively extending your hips, knees, and ankles, driving the kettlebells overhead. As the kettlebells reach the top, press them fully overhead, locking out your arms. Lower the kettlebells back to the starting position by bending your elbows and bringing them back down to shoulder height. Repeat for the desired number of repetitions.",开始时，双脚与肩同宽站立，双手各握一个壶铃，保持肩高。膝盖微微弯曲，发力核心。通过爆发性地伸展髋部、膝盖和脚踝，将壶铃推向头顶开始动作。当壶铃达到顶端时，将壶铃完全压过头顶，双臂锁定。通过弯曲手肘，将壶铃降回起始位置，使其回到肩高。重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in each hand at arm's length in front of your thighs. Bend your knees slightly and hinge forward at the hips, keeping your back flat and chest up. In one explosive motion, extend your hips, knees, and ankles, and simultaneously pull the kettlebells up towards your shoulders. As the kettlebells reach shoulder level, rotate your wrists and punch the kettlebells overhead, fully extending your arms. Lower the kettlebells back down to the starting position and repeat for the desired number of repetitions.",双脚与肩同宽站立，双手各握一个壶铃，保持手臂长度，位于大腿前方。膝盖微微弯曲，臀部向前弯曲，保持背部平坦，胸部挺直。一个爆发力动作，伸展髋部、膝盖和脚踝，同时将壶铃拉向肩膀方向。当壶铃达到肩部高度时，旋转手腕，将壶铃在头顶击打，双臂完全伸展。将壶铃放回起始位置，重复至所需次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in your right hand. Extend your right arm overhead, keeping your eyes on the kettlebell. Rotate your left foot 45 degrees to the left and your right foot 90 degrees to the right. Bend at the waist to the left, keeping your right arm extended overhead. Lower the kettlebell towards the ground, reaching towards your left foot. Pause for a moment, then engage your core and push through your right foot to return to the starting position. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，右手握壶铃。右臂伸过头顶，目光始终盯着壶铃。左脚向左旋转45度，右脚向右旋转90度。腰部向左弯曲，右臂保持伸出。壶铃向下放下，伸向左脚。暂停片刻，然后收紧核心，用力用右脚回归起始位置。重复至所需次数，然后换侧。,
"Attach a cable handle to each side of a cable machine at shoulder height. Stand in the middle of the machine with your feet shoulder-width apart. Grasp the handles with an overhand grip and step back to create tension in the cables. Lean forward slightly from the hips, keeping your back straight and your chest up. Pull the handles down and across your body, squeezing your shoulder blades together. Pause for a moment at the bottom of the movement, then slowly return to the starting position. Repeat for the desired number of repetitions.",在滑轮机的两侧肩高处安装一个钢索把手。站在机器中央，双脚与肩同宽。用上手握住把手，后退以增加钢索的张力。从臀部稍微前倾，保持背部挺直，胸部抬起。将把手向下拉过身体，将肩胛骨紧紧收紧。动作结束时暂停片刻，然后慢慢回到起始位置。重复到所需的重复次数。,
"Sit on a preacher bench with a dumbbell in each hand, palms facing up and elbows resting on the pad. Curl the dumbbells up towards your shoulders, keeping your upper arms stationary and your palms facing up. At the top of the curl, rotate your wrists so that your palms are facing down. Slowly lower the dumbbells back down to the starting position, rotating your wrists back to the starting position as you do so. Repeat for the desired number of repetitions.",坐在牧师长椅上，双手各握一只哑铃，手掌朝上，肘部放在哑铃垫上。将哑铃向上弯曲，靠近肩膀，保持上臂静止，手掌朝上。在弯举顶端，旋转手腕使手掌朝下。慢慢将哑铃放回起始位置，同时将手腕旋转回起始位置。重复至所需次数。,
"Stand with your feet shoulder-width apart, toes slightly turned out. Hold the kettlebell with both hands in front of your chest, close to your body. Engage your core and keep your chest up as you lower your hips down and back, as if sitting into a chair. Lower until your thighs are parallel to the ground, or as low as you can comfortably go. Drive through your heels to stand back up, squeezing your glutes at the top. Repeat for the desired number of repetitions.",双脚与肩同宽站立，脚趾微微外翻。双手握壶铃，放在胸前，靠近身体。收紧核心，保持胸部抬起，同时将臀部向下和后仰，就像坐在椅子上一样。放低直到大腿与地面平行，或尽可能低。用脚跟踩地站起，顶端收紧臀肌。重复到所需的次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in front of your thighs. Bend your knees slightly and hinge forward at the hips, keeping your back straight. Lower the kettlebell towards the ground, allowing it to swing between your legs. Quickly extend your hips and knees, using the momentum to swing the kettlebell up to shoulder height. As the kettlebell reaches shoulder height, rotate your wrists and catch the kettlebell in the rack position, with your elbow tucked in and the kettlebell resting on your forearm. Lower the kettlebell back down to the starting position between your legs, and repeat for the desired number of repetitions.",双脚与肩同宽站立，壶铃放在大腿前方。膝盖微微弯曲，臀部向前折叠，保持背部挺直。将壶铃放低，让它在双腿之间摆动。迅速伸展臀部和膝盖，利用惯性将壶铃摆到肩膀高度。当壶铃达到肩高时，旋转手腕，将壶铃置于架位，肘部内收，壶铃放在前臂上。将壶铃放回双腿之间的起始位置，重复到所需的重复次数。,
"Stand with your feet shoulder-width apart, holding a kettlebell in one hand at shoulder height. Engage your core and keep your back straight. Press the kettlebell overhead, extending your arm fully. Pause for a moment at the top, then slowly lower the kettlebell back to the starting position. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，一手握壶铃，肩高。收紧核心，保持背部挺直。将壶铃按在头顶，手臂完全伸展。在壶铃顶端稍作停留，然后慢慢将壶铃放回起始位置。重复到想要的次数，然后换边。,
"Stand with your feet shoulder-width apart, holding a kettlebell in one hand at shoulder level. Bend your knees slightly and engage your core. Press the kettlebell overhead by extending your arm and fully extending your legs. Lower the kettlebell back to the starting position by bending your knees and bringing the kettlebell back to your shoulder. Repeat for the desired number of repetitions, then switch sides.",双脚与肩同宽站立，一手握壶铃，肩膀高度。膝盖微微弯曲，收紧核心。通过伸展手臂和双腿完全伸展，将壶铃压在头顶。通过弯曲膝盖并将壶铃放回肩膀，将壶铃放回起始位置。重复到想要的次数，然后换边。,
"Stand with your feet shoulder-width apart, holding a kettlebell in one hand with an overhand grip. Bend your knees slightly and hinge forward at the hips, keeping your back straight and your core engaged. Pull the kettlebell up towards your chest, keeping your elbow close to your body and squeezing your shoulder blades together. Pause for a moment at the top, then slowly lower the kettlebell back down to the starting position. Repeat for the desired number of repetitions, then switch sides and repeat with the other arm.",双脚与肩同宽站立，一手握壶铃，采用上握。膝盖微微弯曲，臀部向前折叠，保持背部挺直，核心收紧。将壶铃拉向胸前，肘部靠近身体，双肩胛骨紧贴。在壶铃顶端稍作停顿，然后慢慢将壶铃放回起始位置。重复到想要的次数，然后换侧，用另一只手臂重复。,
"Stand with your feet shoulder-width apart, holding a kettlebell in one hand between your legs. Bend your knees slightly and hinge at the hips, lowering the kettlebell towards the ground. Explosively extend your hips and knees, using the momentum to swing the kettlebell up towards your shoulder. As the kettlebell reaches shoulder height, rotate your hand and punch it straight up overhead, fully extending your arm. Lower the kettlebell back down between your legs and repeat for the desired number of repetitions.",双脚与肩同宽站立，一手握着壶铃，夹在双腿之间。膝盖微微弯曲，髋部铰接，壶铃向下放下。爆发性地伸展你的臀部和膝盖，利用惯性将壶铃向肩膀方向摆动。当壶铃达到肩高时，旋转手部，直线向上击打，手臂完全伸展。将壶铃放回双腿之间，重复到所需的次数。,
"Sit on a bench with your back straight and feet flat on the ground. Hold a kettlebell in each hand at shoulder height, palms facing forward. Press the kettlebells overhead, fully extending your arms. Lower the kettlebells back to shoulder height. Repeat for the desired number of repetitions.",坐在长椅上，背挺直，双脚平放在地上。双手各握一个壶铃，肩高，手掌朝前。将壶铃按在头顶，双臂完全伸展。将壶铃降回肩膀高度。重复到所需的重复次数。,
"Adjust the cable pulleys to chest height. Stand in the center of the cable machine with one foot in front of the other. Grasp the handles with your palms facing down and your arms extended out to the sides. Take a step forward, keeping your arms slightly bent. With a slight bend in your elbows, bring your hands together in front of your chest. Pause for a moment, then slowly return your arms back to the starting position. Repeat for the desired number of repetitions.",把滑轮调到胸部高度。站在钢索机中央，一脚一脚前行。手掌朝下，双臂向两侧伸展，握住把手。迈出一步，手臂微微弯曲。肘部微微弯曲，双手合十放在胸前。暂停片刻，然后慢慢将手臂恢复到起始位置。重复到所需的重复次数。,
"Sit on a bench with your back straight and feet flat on the ground. Hold a kettlebell in each hand at shoulder level with your palms facing forward. Press the kettlebells overhead by extending your arms fully. Pause for a moment at the top, then slowly lower the kettlebells back to shoulder level. Repeat for the desired number of repetitions.",坐在长椅上，背部挺直，双脚平放在地上。双手各握一个壶铃，双手掌心朝前，肩膀齐平。双臂完全伸展，将壶铃压在头顶。在壶铃顶端暂停片刻，然后慢慢将壶铃放回肩膀高度。重复到所需的重复次数。,
"Grab the pull-up bar with an overhand grip, slightly wider than shoulder-width apart. Hang with your arms fully extended and your body straight. Engage your lats and biceps to pull your body up towards the bar, keeping your elbows close to your body. Continue pulling until your chin is above the bar. Pause for a moment at the top, then slowly lower your body back down to the starting position. Repeat for the desired number of repetitions.",用过手握法抓住引体向上杠铃，间距略宽于肩宽。双臂完全伸展，身体挺直悬挂。用力拉背阔肌和肱二头肌，将身体拉向杠铃，肘部紧贴身体。继续拉，直到下巴高于杠铃。在杠铃顶端稍作停顿，然后慢慢将身体放回起始位置。重复至所需次数。,
